#	f1	f2
0.866	0.438
0.879	0.456
0.856	0.436
0.862	0.466
0.863	0.430
0.866	0.446
0.848	0.428
0.861	0.445
0.866	0.411
0.866	0.414
0.848	0.431
0.851	0.462
0.855	0.420
0.860	0.414
0.867	0.437
0.852	0.416
0.857	0.441
0.842	0.423
0.887	0.422
0.854	0.440
0.853	0.464
0.873	0.429
0.853	0.418
0.852	0.435
0.861	0.449
0.868	0.462
0.894	0.424
0.863	0.431
0.869	0.444
0.851	0.415
0.855	0.441
0.882	0.432
0.826	0.440
0.826	0.427
0.841	0.413
0.836	0.457
0.852	0.402
0.878	0.406
0.879	0.403
0.889	0.405
0.884	0.393
0.839	0.400
0.835	0.399
0.820	0.496
0.851	0.491
0.834	0.495
0.814	0.519
0.841	0.483
0.848	0.495
0.795	0.508
0.802	0.474
0.849	0.499
0.842	0.515
0.831	0.496
0.810	0.524
0.827	0.494
0.830	0.477
0.795	0.507
0.824	0.470
0.816	0.475
0.822	0.482
0.812	0.467
0.805	0.486
0.809	0.518
0.839	0.471
0.839	0.493
0.790	0.490
0.826	0.525
0.835	0.495
0.834	0.479
0.817	0.502
0.814	0.518
0.804	0.489
0.816	0.473
0.851	0.496
0.836	0.337
0.820	0.340
0.823	0.327
0.813	0.356
0.815	0.324
0.825	0.330
0.852	0.352
0.840	0.355
0.823	0.332
0.838	0.364
0.862	0.333
0.847	0.308
0.853	0.341
0.836	0.357
0.814	0.345
0.849	0.354
0.840	0.346
0.831	0.349
0.833	0.345
0.818	0.327
0.826	0.315
0.851	0.348
0.827	0.309
0.863	0.322
0.854	0.326
0.832	0.319
0.864	0.335
0.817	0.322
0.822	0.312
0.858	0.359
0.843	0.323
0.800	0.319
0.814	0.310
0.792	0.332
0.808	0.353
0.808	0.368
0.803	0.355
0.804	0.324
0.805	0.349
0.824	0.367
0.814	0.362
0.799	0.334
0.814	0.362
0.809	0.312
0.815	0.370
0.804	0.366
0.823	0.302
0.872	0.296
0.855	0.287
0.865	0.297
0.860	0.312
0.848	0.294
0.850	0.279
0.843	0.293
0.835	0.288
0.822	0.296
0.827	0.290
0.848	0.291
0.869	0.321
0.832	0.291
0.855	0.285
0.857	0.296
0.875	0.308
0.826	0.293
0.851	0.296
0.826	0.376
0.814	0.287
0.808	0.294
0.812	0.299
0.822	0.284
0.825	0.282
0.804	0.279
0.838	0.278
0.837	0.277
0.826	0.275
0.885	0.306
0.853	0.273
0.894	0.308
0.874	0.271
0.886	0.317
0.881	0.291
0.869	0.267
0.877	0.276
0.895	0.303
0.873	0.266
0.894	0.289
0.894	0.314
0.875	0.288
0.898	0.282
0.878	0.303
0.898	0.282
0.889	0.314
0.879	0.271
0.842	0.261
0.845	0.271
0.858	0.260
0.840	0.264
0.822	0.261
0.817	0.264
0.874	0.346
0.887	0.344
0.874	0.346
0.883	0.333
0.885	0.328
0.890	0.337
0.892	0.322
0.866	0.348
0.875	0.341
0.895	0.327
0.891	0.325
0.905	0.302
0.831	0.252
0.846	0.243
0.866	0.250
0.872	0.250
0.878	0.257
0.889	0.269
0.891	0.270
0.899	0.278
0.900	0.280
0.835	0.245
0.838	0.244
0.782	0.416
0.782	0.402
0.760	0.432
0.774	0.408
0.771	0.435
0.763	0.428
0.792	0.423
0.770	0.392
0.776	0.424
0.773	0.426
0.771	0.387
0.766	0.432
0.798	0.429
0.765	0.435
0.761	0.421
0.754	0.415
0.785	0.405
0.804	0.412
0.790	0.402
0.786	0.427
0.779	0.441
0.779	0.410
0.800	0.394
0.777	0.397
0.774	0.375
0.788	0.382
0.775	0.373
0.798	0.377
0.799	0.377
0.777	0.372
0.769	0.386
0.812	0.438
0.813	0.430
0.807	0.446
0.768	0.452
0.769	0.453
0.764	0.444
0.755	0.449
0.797	0.373
0.814	0.395
0.819	0.407
0.771	0.471
0.781	0.467
0.776	0.464
0.792	0.460
0.812	0.377
0.824	0.396
0.770	0.365
0.771	0.360
0.774	0.361
0.767	0.482
0.778	0.477
0.758	0.464
0.766	0.481
0.765	0.482
0.765	0.472
0.780	0.351
0.789	0.486
0.772	0.495
0.805	0.460
0.793	0.478
0.818	0.461
0.819	0.446
0.821	0.451
0.839	0.382
0.831	0.392
0.819	0.445
0.829	0.460
0.903	0.262
0.790	0.329
0.886	0.366
0.885	0.375
0.881	0.361
0.910	0.320
0.925	0.457
0.931	0.442
0.920	0.480
0.885	0.464
0.881	0.479
0.923	0.459
0.788	0.279
0.784	0.306
0.751	0.308
0.877	0.384
0.716	0.364
0.714	0.355
0.713	0.349
0.710	0.333
0.711	0.341
0.724	0.405
0.721	0.405
0.730	0.432
0.717	0.419
0.732	0.481
0.730	0.465
0.729	0.442
0.729	0.461
0.711	0.292
0.709	0.295
