#	f1	f2
1.000	0.105
0.005	0.918
0.210	1.000
0.972	0.392
0.855	0.969
0.067	0.978
0.041	0.824
0.517	0.959
0.253	0.992
0.990	0.088
0.695	0.950
0.995	0.972
0.980	0.958
0.318	0.917
0.324	0.925
0.645	0.992
0.637	0.969
0.310	0.967
0.296	0.975
0.557	0.967
0.552	0.995
0.199	1.000
0.200	0.979
0.986	0.918
0.956	0.941
0.993	0.327
0.985	0.352
0.945	0.883
0.940	0.865
0.047	0.843
0.030	0.849
0.958	0.836
0.994	0.825
0.949	0.477
0.952	0.495
0.603	0.990
0.616	0.970
0.002	0.767
0.000	0.745
0.926	0.929
0.940	0.900
0.991	0.846
0.993	0.850
0.961	0.000
0.985	0.017
0.910	0.983
0.904	0.957
0.276	0.895
0.270	0.927
0.957	0.462
0.993	0.451
0.176	0.915
0.173	0.940
0.086	0.784
0.081	0.771
0.082	0.742
0.811	0.955
0.798	0.954
0.826	0.990
0.110	0.983
0.115	0.972
0.155	0.971
0.041	0.685
0.048	0.690
0.046	0.699
0.077	0.733
0.082	0.732
0.080	0.724
0.789	0.977
0.778	0.963
0.765	0.968
0.741	0.966
0.990	0.537
0.970	0.533
0.995	0.533
0.968	0.556
0.974	0.161
0.970	0.168
0.961	0.187
0.966	0.203
0.012	0.007
0.029	0.027
0.051	0.015
0.024	0.037
0.948	0.628
0.966	0.622
0.956	0.592
0.979	0.596
0.093	0.849
0.095	0.868
0.063	0.880
0.090	0.847
0.102	0.917
0.062	0.926
0.101	0.908
0.102	0.905
0.336	0.995
0.357	0.987
0.345	0.950
0.326	0.961
0.358	0.993
0.326	0.968
0.959	0.134
0.977	0.125
0.998	0.137
0.971	0.146
0.952	0.121
0.977	0.132
0.086	0.831
0.091	0.830
0.098	0.794
0.058	0.823
0.090	0.838
0.089	0.834
0.955	0.248
0.963	0.243
0.971	0.255
0.960	0.235
0.960	0.262
0.961	0.214
0.972	0.213
0.843	0.862
0.852	0.887
0.845	0.860
0.848	0.853
0.848	0.850
0.846	0.850
0.853	0.850
0.846	0.859
0.993	0.314
0.950	0.311
0.961	0.272
0.947	0.315
0.995	0.315
0.955	0.277
0.952	0.298
0.953	0.285
0.116	0.935
0.139	0.913
0.136	0.925
0.113	0.921
0.147	0.897
0.127	0.927
0.117	0.940
0.114	0.930
0.118	0.933
0.135	0.920
0.402	0.107
0.460	0.889
0.148	0.292
0.128	0.274
0.764	0.814
0.758	0.801
0.766	0.801
0.752	0.790
0.763	0.806
0.125	0.261
0.506	0.738
0.500	0.773
0.507	0.755
0.507	0.765
0.503	0.737
0.504	0.745
0.220	0.059
0.222	0.086
0.224	0.077
0.211	0.091
0.379	0.669
0.870	0.053
0.885	0.058
0.718	0.106
0.689	0.148
0.314	0.701
0.655	0.494
0.657	0.475
0.658	0.490
0.656	0.477
0.656	0.498
0.674	0.483
0.658	0.492
0.671	0.309
0.671	0.304
0.153	0.350
0.252	0.498
0.756	0.742
0.755	0.789
0.763	0.782
0.749	0.747
0.759	0.754
0.760	0.781
0.761	0.779
0.686	0.166
0.695	0.198
0.686	0.166
0.695	0.202
0.706	0.180
0.180	0.441
0.179	0.447
0.177	0.449
0.178	0.421
0.381	0.264
0.377	0.285
0.375	0.272
0.674	0.453
0.727	0.882
0.680	0.063
0.143	0.053
0.739	0.563
0.737	0.552
0.738	0.564
0.740	0.569
0.337	0.706
0.360	0.694
0.668	0.878
0.674	0.865
0.635	0.889
0.681	0.869
0.668	0.892
0.501	0.465
0.486	0.470
0.489	0.464
0.207	0.092
0.168	0.061
0.191	0.061
0.206	0.094
0.229	0.579
0.790	0.066
0.578	0.541
0.534	0.541
0.555	0.534
0.568	0.549
0.538	0.552
0.545	0.540
0.560	0.543
0.532	0.075
0.533	0.081
0.240	0.766
0.238	0.766
0.235	0.570
0.226	0.578
0.227	0.574
0.263	0.538
0.247	0.569
0.889	0.593
0.893	0.629
0.890	0.593
0.544	0.469
0.163	0.693
0.360	0.216
0.576	0.348
0.579	0.456
0.585	0.446
0.361	0.468
0.580	0.546
0.581	0.541
0.581	0.538
0.817	0.676
0.821	0.675
0.819	0.676
0.818	0.668
0.821	0.674
0.822	0.670
0.824	0.667
0.864	0.786
0.860	0.788
0.586	0.795
0.603	0.800
0.595	0.814
0.589	0.809
0.593	0.808
0.602	0.812
0.595	0.809
0.596	0.815
0.597	0.802
0.605	0.803
0.600	0.792
0.403	0.702
0.399	0.707
0.395	0.702
0.383	0.692
0.885	0.464
0.520	0.055
0.525	0.087
0.523	0.102
0.522	0.079
0.516	0.091
0.523	0.091
0.512	0.070
0.510	0.061
0.526	0.069
0.511	0.067
0.512	0.068
0.362	0.198
0.364	0.181
0.364	0.208
0.517	0.115
0.882	0.547
0.882	0.547
0.885	0.539
0.257	0.688
0.849	0.354
0.852	0.352
0.851	0.348
0.858	0.359
0.853	0.356
0.633	0.746
0.811	0.251
0.797	0.251
0.817	0.251
0.800	0.250
0.823	0.252
0.813	0.430
0.881	0.475
0.332	0.833
0.349	0.835
0.356	0.834
0.317	0.839
0.324	0.832
0.282	0.146
0.280	0.148
0.802	0.269
0.880	0.257
0.886	0.260
0.893	0.164
0.165	0.204
0.176	0.201
0.165	0.206
0.890	0.272
